M_sigma	S	Q_alpha	motif_ratio_summary	motif_ratio
0.3	0	Inf	0	1
0.3	0.05	Inf	0	0.9790611169368298
0.3	0.1	Inf	0	0.9466098995999724
0.3	0.2	Inf	0	0.9302781581781928
0.3	0.4	Inf	0	0.8332938365337994
0.3	0.8	Inf	0	0.7044699383730902
0.31	0	Inf	0	1
0.31	0.05	Inf	0	0.9768757542495969
0.31	0.1	Inf	0	0.9611174041349149
0.31	0.2	Inf	0	0.9249502049186794
0.31	0.4	Inf	0	0.889469639344003
0.31	0.8	Inf	0	0.6766472855656781
0.32	0	Inf	0	1
0.32	0.05	Inf	0	0.9772835846469013
0.32	0.1	Inf	0	0.960340265842276
0.32	0.2	Inf	0	0.9240426893602963
0.32	0.4	Inf	0	0.796065065083545
0.32	0.8	Inf	0	0.6274008401605201
0.33	0	Inf	0	1
0.33	0.05	Inf	0	0.9772593354101348
0.33	0.1	Inf	0	0.9468295024387098
0.33	0.2	Inf	0	0.9140008835624805
0.33	0.4	Inf	0	0.7842174466379846
0.33	0.8	Inf	0	0.6156620736169749
0.34	0	Inf	0	1
0.34	0.05	Inf	0	0.98180169757416
0.34	0.1	Inf	0	0.9638055878834088
0.34	0.2	Inf	0	0.8692034200538916
0.34	0.4	Inf	0	0.8366526725613932
0.34	0.8	Inf	0	0.6331634010546061
0.35	0	Inf	0	1
0.35	0.05	Inf	0	0.9697334842467836
0.35	0.1	Inf	0	0.96148353298922
0.35	0.2	Inf	0	0.9129369562220934
0.35	0.4	Inf	0	0.7783415188814355
0.35	0.8	Inf	0	0.618268387029625
0.36	0	Inf	0	1
0.36	0.05	Inf	0	0.9688223937786782
0.36	0.1	Inf	0	0.9552513172499182
0.36	0.2	Inf	0	0.9053830897469992
0.36	0.4	Inf	0	0.7802519429254874
0.36	0.8	Inf	0	0.5903200514704317
0.37	0	Inf	0	1
0.37	0.05	Inf	0	0.9775464622925188
0.37	0.1	Inf	0	0.9548826828476149
0.37	0.2	Inf	0	0.9127425628257719
0.37	0.4	Inf	0	0.8111175739591518
0.37	0.8	Inf	0	0.6205765903159349
0.38	0	Inf	0	1
0.38	0.05	Inf	0	0.9794471689366806
0.38	0.1	Inf	0	0.9496424891649448
0.38	0.2	Inf	0	0.886418591496583
0.38	0.4	Inf	0	0.7717482636417187
0.38	0.8	Inf	0	0.651941318476233
0.39	0	Inf	0	1
0.39	0.05	Inf	0	0.9800445493985488
0.39	0.1	Inf	0	0.9472744512394173
0.39	0.2	Inf	0	0.9217962433819441
0.39	0.4	Inf	0	0.8548975680136535
0.39	0.8	Inf	0	0.7312712613709845
0.4	0	Inf	0	1
0.4	0.05	Inf	0	0.9746927694104064
0.4	0.1	Inf	0	0.9434648700864595
0.4	0.2	Inf	0	0.9128176386077468
0.4	0.4	Inf	0	0.7783321456561966
0.4	0.8	Inf	0	0.6606164306547713
0.41	0	Inf	0	1
0.41	0.05	Inf	0	0.9731990879664659
0.41	0.1	Inf	0	0.9418468756916838
0.41	0.2	Inf	0	0.9122062263866529
0.41	0.4	Inf	0	0.7843581387551533
0.41	0.8	Inf	0	0.7861958623562478
0.42	0	Inf	0	1
0.42	0.05	Inf	0	0.9779972944150919
0.42	0.1	Inf	0	0.9651352310079442
