M_sigma	S	Q_alpha	motif_exon_summary	motif_exon
0.35	0.05	Inf	0	0.020806077600774374
0.35	0.1	Inf	0	0.022816067227130806
0.35	0.2	Inf	0	0.030471506820776567
0.35	0.4	Inf	0	0.03759574923390209
0.35	0.8	Inf	0	0.044934072987074414
0.36	0	Inf	0	0.02156711177676914
0.36	0.05	Inf	0	0.029247854428953342
0.36	0.1	Inf	0	0.02660630205635224
0.36	0.2	Inf	0	0.029876604541457095
0.36	0.4	Inf	0	0.036031566018213335
0.36	0.8	Inf	0	0.04526788128751622
0.37	0	Inf	0	0.01464479808289346
0.37	0.05	Inf	0	0.024931811642430683
0.37	0.1	Inf	0	0.0342128995126498
0.37	0.2	Inf	0	0.02755775647424896
0.37	0.4	Inf	0	0.03778966717452226
0.37	0.8	Inf	0	0.04456574533609242
0.38	0	Inf	0	0.022784324474159977
0.38	0.05	Inf	0	0.02855521909005629
0.38	0.1	Inf	0	0.02067969392405262
0.38	0.2	Inf	0	0.028587013541492616
0.38	0.4	Inf	0	0.03068060147061151
0.38	0.8	Inf	0	0.04406550527247864
0.39	0	Inf	0	0.024445281918277093
0.39	0.05	Inf	0	0.03382356096210853
0.39	0.1	Inf	0	0.018606507314628755
0.39	0.2	Inf	0	0.02452400762612125
0.39	0.4	Inf	0	0.03655332054305601
0.39	0.8	Inf	0	0.043943775549175834
0.4	0	Inf	0	0.013531992808859413
0.4	0.05	Inf	0	0.025514163605102815
0.4	0.1	Inf	0	0.02327547591169966
0.4	0.2	Inf	0	0.025763809248020974
0.4	0.4	Inf	0	0.03507693248651343
0.4	0.8	Inf	0	0.04517798312184941
0.41	0	Inf	0	0.029901651218986535
0.41	0.05	Inf	0	0.022271029071621012
0.41	0.1	Inf	0	0.02288477814550158
0.41	0.2	Inf	0	0.02385017115827783
0.41	0.4	Inf	0	0.027042111876972384
0.41	0.8	Inf	0	0.04470683195332176
0.42	0	Inf	0	0.0320143062301908
0.42	0.05	Inf	0	0.023080479325696505
0.42	0.1	Inf	0	0.024518823616909984
0.42	0.2	Inf	0	0.027206602357940785
0.42	0.4	Inf	0	0.03578338768348513
0.42	0.8	Inf	0	0.04409236349279381
0.43	0	Inf	0	0.027083335003655527
0.43	0.05	Inf	0	0.024510330116193225
0.43	0.1	Inf	0	0.024388780921816643
0.43	0.2	Inf	0	0.026829120000672193
0.43	0.4	Inf	0	0.030552255412820847
0.43	0.8	Inf	0	0.04543280152710571
0.44	0	Inf	0	0.017533632824333324
0.44	0.05	Inf	0	0.021031801500534533
0.44	0.1	Inf	0	0.032827036524761564
0.44	0.2	Inf	0	0.030275624995281598
0.44	0.4	Inf	0	0.03055312512244755
0.44	0.8	Inf	0	0.04441569820281587
0.45	0	Inf	0	0.015136342185679524
0.45	0.05	Inf	0	0.015127366889770342
0.45	0.1	Inf	0	0.018083973441264924
0.45	0.2	Inf	0	0.02638178143381932
0.45	0.4	Inf	0	0.027633555235988656
0.45	0.8	Inf	0	0.04470531557821876
0.46	0	Inf	0	0.01962210895457285
0.46	0.05	Inf	0	0.02000117196774749
0.46	0.1	Inf	0	0.02498823245277675
0.46	0.2	Inf	0	0.027508184524356053
0.46	0.4	Inf	0	0.028981209435192924
0.46	0.8	Inf	0	0.04291400791125364
0.47	0	Inf	0	0.019392244368575756
0.47	0.05	Inf	0	0.02966492840368576
0.47	0.1	Inf	0	0.017218134820304324
0.47	0.2	Inf	0	0.02216265393106357
0.47	0.4	Inf	0	0.028766548227227892
0.47	0.8	Inf	0	0.043426495997030815
0.48	0	Inf	0	0.026013070920870872
0.48	0.05	Inf	0	0.015060927124198587
0.48	0.1	Inf	0	0.020811931042300297
0.48	0.2	Inf	0	0.025085227794492248
0.48	0.4	Inf	0	0.028836759725211564
0.48	0.8	Inf	0	0.042839255876098783
0.49	0	Inf	0	0.011532074800727916
0.49	0.05	Inf	0	0.01603072128051343
0.49	0.1	Inf	0	0.03078712260863019
0.49	0.2	Inf	0	0.02456135251738239
0.49	0.4	Inf	0	0.03273307409142165
0.49	0.8	Inf	0	0.04334540147184303
0.5	0	Inf	0	0.015474488385959745
0.5	0.05	Inf	0	0.019172719200769614
0.5	0.1	Inf	0	0.013855429876822258
0.5	0.2	Inf	0	0.02282343798087473
0.5	0.4	Inf	0	0.02904263551891446
0.5	0.8	Inf	0	0.04502798290042355
0.51	0	Inf	0	0.020507822741160406
0.51	0.05	Inf	0	0.020046625933312183
0.51	0.1	Inf	0	0.015443247353421615
0.51	0.2	Inf	0	0.023776942355032606
0.51	0.4	Inf	0	0.026178797590314475
0.51	0.8	Inf	0	0.04331411077694393
0.52	0	Inf	0	0.014234681409637684
0.52	0.05	Inf	0	0.015818105429290262
0.52	0.1	Inf	0	0.01975397276123675
0.52	0.2	Inf	0	0.01972454301441163
0.52	0.4	Inf	0	0.02892747627129992
0.52	0.8	Inf	0	0.043195489671548765
0.53	0	Inf	0	0.018812654105592765
0.53	0.05	Inf	0	0.015928033495044062
0.53	0.1	Inf	0	0.02035054905803585
0.53	0.2	Inf	0	0.0259318484175507
0.53	0.4	Inf	0	0.030127213275366084
0.53	0.8	Inf	0	0.043197577666417936
0.54	0	Inf	0	0.020908807870292846
0.54	0.05	Inf	0	0.012797914009646024
0.54	0.1	Inf	0	0.014493372572370935
0.54	0.2	Inf	0	0.023263934858334175
0.54	0.4	Inf	0	0.027310216302383873
0.54	0.8	Inf	0	0.04257025425553901
0.55	0	Inf	0	0.01373731472076833
0.55	0.05	Inf	0	0.020391030632789388
0.55	0.1	Inf	0	0.019451454454870967
0.55	0.2	Inf	0	0.02383295947918202
0.55	0.4	Inf	0	0.026067583631892634
0.55	0.8	Inf	0	0.04221066549035071
0.56	0	Inf	0	0.01724675591364074
0.56	0.05	Inf	0	0.012304582591308722
0.56	0.1	Inf	0	0.016680170146934188
0.56	0.2	Inf	0	0.02096568226340636
0.56	0.4	Inf	0	0.026590770998367992
0.56	0.8	Inf	0	0.04461219523751218
0.57	0	Inf	0	0.01372875960212902
0.57	0.05	Inf	0	0.008524938008157002
0.57	0.1	Inf	0	0.01574323288139933
0.57	0.2	Inf	0	0.018765212234030732
0.57	0.4	Inf	0	0.028864551109197535
0.57	0.8	Inf	0	0.04381360330625102
0.58	0	Inf	0	0.014196792391771016
0.58	0.05	Inf	0	0.017444286510895808
0.58	0.1	Inf	0	0.014584730269187924
0.58	0.2	Inf	0	0.020791155570769868
0.58	0.4	Inf	0	0.02688395915184187
0.58	0.8	Inf	0	0.042781652103311335
0.59	0	Inf	0	0.009716897741039059
0.59	0.05	Inf	0	0.02003256899220094
0.59	0.1	Inf	0	0.012825559842858294
0.59	0.2	Inf	0	0.018464918443143567
0.59	0.4	Inf	0	0.024603537738026055
0.59	0.8	Inf	0	0.04272024519247353
0.6	0	Inf	0	0.0156138018065462
0.6	0.05	Inf	0	0.022758314206327658
0.6	0.1	Inf	0	0.017912198979006075
0.6	0.2	Inf	0	0.01692075475486541
0.6	0.4	Inf	0	0.033431318862266864
0.6	0.8	Inf	0	0.04256125682338592
0.61	0	Inf	0	0.014846027674532799
0.61	0.05	Inf	0	0.016925089241562212
0.61	0.1	Inf	0	0.014138410622257064
0.61	0.2	Inf	0	0.0196536670438694
0.61	0.4	Inf	0	0.025705701075606394
0.61	0.8	Inf	0	0.04378263765170819
0.62	0	Inf	0	0.008972185306635965
0.62	0.05	Inf	0	0.02307866108873366
0.62	0.1	Inf	0	0.017876345534788615
0.62	0.2	Inf	0	0.019617044868407256
0.62	0.4	Inf	0	0.024551708624941132
0.62	0.8	Inf	0	0.04366462353062156
0.63	0	Inf	0	0.01883440391300763
0.63	0.05	Inf	0	0.017153554606153285
0.63	0.1	Inf	0	0.013258331253350611
0.63	0.2	Inf	0	0.017929314586288048
0.63	0.4	Inf	0	0.026726979624888028
0.63	0.8	Inf	0	0.04388024642431483
0.64	0	Inf	0	0.008975609033113676
0.64	0.05	Inf	0	0.015177901728226537
0.64	0.1	Inf	0	0.01360767263119094
0.64	0.2	Inf	0	0.020273689255061393
0.64	0.4	Inf	0	0.022425379124447257
0.64	0.8	Inf	0	0.043313796380297996
0.65	0	Inf	0	0.014927283054332099
0.65	0.05	Inf	0	0.0181969503736239
0.65	0.1	Inf	0	0.018172834491505405
0.65	0.2	Inf	0	0.019144638749050532
0.65	0.4	Inf	0	0.03248260053616367
0.65	0.8	Inf	0	0.04167670559270396
0.66	0	Inf	0	0.007638842905738848
0.66	0.05	Inf	0	0.012464145879543441
0.66	0.1	Inf	0	0.021529551206659003
0.66	0.2	Inf	0	0.019657842937820726
0.66	0.4	Inf	0	0.027374496849995936
0.66	0.8	Inf	0	0.042125125257383045
0.67	0	Inf	0	0.01179854163054547
0.67	0.05	Inf	0	0.00972902176170557
0.67	0.1	Inf	0	0.02041321270466752
0.67	0.2	Inf	0	0.01766545198814696
0.67	0.4	Inf	0	0.029744615011195796
0.67	0.8	Inf	0	0.043687532110831165
0.68	0	Inf	0	0.013598210164408516
0.68	0.05	Inf	0	0.010398537913141678
0.68	0.1	Inf	0	0.01716111316374419
0.68	0.2	Inf	0	0.020282897178053403
0.68	0.4	Inf	0	0.02686484469354226
0.68	0.8	Inf	0	0.041674487265724855
0.69	0	Inf	0	0.010934345432063581
0.69	0.05	Inf	0	0.008648327261231832
0.69	0.1	Inf	0	0.01825497330218192
0.69	0.2	Inf	0	0.027706029421482484
0.69	0.4	Inf	0	0.03008681522308817
0.69	0.8	Inf	0	0.0427899125452941
0.7	0	Inf	0	0.009368670616368155
0.7	0.05	Inf	0	0.010927654661266098
0.7	0.1	Inf	0	0.007873887876765434
0.7	0.2	Inf	0	0.024568293887430058
0.7	0.4	Inf	0	0.025981393901328576
0.7	0.8	Inf	0	0.04214805102787107
0.71	0	Inf	0	0.00896459958028042
0.71	0.05	Inf	0	0.009428570426749406
0.71	0.1	Inf	0	0.015362726829928116
0.71	0.2	Inf	0	0.02072012392696716
0.71	0.4	Inf	0	0.024287512563154503
0.71	0.8	Inf	0	0.04186869712615012
0.72	0	Inf	0	0.016161067433355852
0.72	0.05	Inf	0	0.016412989212688318
0.72	0.1	Inf	0	0.014700617853498067
0.72	0.2	Inf	0	0.021675087588587043
0.72	0.4	Inf	0	0.024907318659619208
0.72	0.8	Inf	0	0.0416155749589886
0.73	0	Inf	0	0.011011382318394328
0.73	0.05	Inf	0	0.006589620434676696
0.73	0.1	Inf	0	0.016897536977074405
0.73	0.2	Inf	0	0.01824340483653036
0.73	0.4	Inf	0	0.029466410883581595
0.73	0.8	Inf	0	0.04288286943961063
0.74	0	Inf	0	0.005545721940651898
0.74	0.05	Inf	0	0.011542105911118313
0.74	0.1	Inf	0	0.013418657289221881
0.74	0.2	Inf	0	0.01990050577437665
0.74	0.4	Inf	0	0.025498131155525253
0.74	0.8	Inf	0	0.04162983301447533
0.75	0	Inf	0	0.004717712679004882
0.75	0.05	Inf	0	0.008740165820426301
0.75	0.1	Inf	0	0.011506983183358944
0.75	0.2	Inf	0	0.015466402154147029
0.75	0.4	Inf	0	0.027051060261535288
0.75	0.8	Inf	0	0.042435529599830414
0.76	0	Inf	0	0.005843953176619934
0.76	0.05	Inf	0	0.011166982439094053
0.76	0.1	Inf	0	0.00895603673136056
0.76	0.2	Inf	0	0.014083017266625107
0.76	0.4	Inf	0	0.02233606246577025
0.76	0.8	Inf	0	0.042155396381738965
0.77	0	Inf	0	0.009672715929410719
0.77	0.05	Inf	0	0.018647224651391354
0.77	0.1	Inf	0	0.019153766055923463
0.77	0.2	Inf	0	0.017045569476455028
0.77	0.4	Inf	0	0.021272025163537725
0.77	0.8	Inf	0	0.041904782660209194
0.78	0	Inf	0	0.00866686959423105
0.78	0.05	Inf	0	0.010113936289440066
0.78	0.1	Inf	0	0.013451453503014682
0.78	0.2	Inf	0	0.013795961178394245
0.78	0.4	Inf	0	0.0228838885324524
0.78	0.8	Inf	0	0.040514066446730154
0.79	0	Inf	0	0.006987123904052744
0.79	0.05	Inf	0	0.007710586694641346
0.79	0.1	Inf	0	0.010580385027338907
0.79	0.2	Inf	0	0.021462336694648552
0.79	0.4	Inf	0	0.02608730857691741
0.79	0.8	Inf	0	0.04301262083326779
0.8	0	Inf	0	0.013595882529350104
0.8	0.05	Inf	0	0.010860212235105263
0.8	0.1	Inf	0	0.01547228715526456
0.8	0.2	Inf	0	0.01811545174916815
0.8	0.4	Inf	0	0.02679438061607731
0.8	0.8	Inf	0	0.0410668963050666
0.81	0	Inf	0	0.01165607957491922
0.81	0.05	Inf	0	0.008423372112703414
0.81	0.1	Inf	0	0.012385490341450145
0.81	0.2	Inf	0	0.014191609190545228
0.81	0.4	Inf	0	0.02464155308785595
0.81	0.8	Inf	0	0.0406157391081931
0.82	0	Inf	0	0.004456520173326274
0.82	0.05	Inf	0	0.01865384263898158
0.82	0.1	Inf	0	0.011676858467681923
0.82	0.2	Inf	0	0.01632780416159181
0.82	0.4	Inf	0	0.026492337486983618
0.82	0.8	Inf	0	0.04038207371934178
0.83	0	Inf	0	0.005764221991854406
0.83	0.05	Inf	0	0.013612392013891764
0.83	0.1	Inf	0	0.012838177409018181
0.83	0.2	Inf	0	0.012917490673031147
0.83	0.4	Inf	0	0.021764812398686325
0.83	0.8	Inf	0	0.04080119534964208
0.84	0	Inf	0	0.01017477809524919
0.84	0.05	Inf	0	0.012651077764241247
0.84	0.1	Inf	0	0.013084552223085529
0.84	0.2	Inf	0	0.01482509914028005
0.84	0.4	Inf	0	0.024505484636813273
0.84	0.8	Inf	0	0.04360798266504847
0.85	0	Inf	0	0.001881340040328121
0.85	0.05	Inf	0	0.01308310239407579
0.85	0.1	Inf	0	0.01513810375108885
0.85	0.2	Inf	0	0.015460951208466436
0.85	0.4	Inf	0	0.021657644502827117
0.85	0.8	Inf	0	0.04112950269835544
0.86	0	Inf	0	0.006961213973175333
0.86	0.05	Inf	0	0.009878794987054403
0.86	0.1	Inf	0	0.014665372033481824
0.86	0.2	Inf	0	0.01632456580159264
0.86	0.4	Inf	0	0.02510322341221306
0.86	0.8	Inf	0	0.040512272552968326
