M_sigma	S	Q_alpha	motif_intron_summary	motif_intron
0.39	0.8	Inf	0	0.019718877745879142
0.4	0	Inf	0	0.013531992808859413
0.4	0.05	Inf	0	0.024225435373792435
0.4	0.1	Inf	0	0.020306084346332954
0.4	0.2	Inf	0	0.019704761560026214
0.4	0.4	Inf	0	0.025128220810855716
0.4	0.8	Inf	0	0.025889915609247027
0.41	0	Inf	0	0.029901651218986535
0.41	0.05	Inf	0	0.020811609549074753
0.41	0.1	Inf	0	0.019871975717223978
0.41	0.2	Inf	0	0.017312713947847287
0.41	0.4	Inf	0	0.011736853128287303
0.41	0.8	Inf	0	0.023534159766608748
0.42	0	Inf	0	0.0320143062301908
0.42	0.05	Inf	0	0.021663662448101584
0.42	0.1	Inf	0	0.021687581796566647
0.42	0.2	Inf	0	0.021508252947425976
0.42	0.4	Inf	0	0.026305646139141874
0.42	0.8	Inf	0	0.020461817463968992
0.43	0	Inf	0	0.027083335003655527
0.43	0.05	Inf	0	0.023168768543361293
0.43	0.1	Inf	0	0.0215430899131296
0.43	0.2	Inf	0	0.021036400000840238
0.43	0.4	Inf	0	0.017587092354701402
0.43	0.8	Inf	0	0.02716400763552852
0.44	0	Inf	0	0.017533632824333324
0.44	0.05	Inf	0	0.019507159474246877
0.44	0.1	Inf	0	0.030918929471957294
0.44	0.2	Inf	0	0.025344531244101992
0.44	0.4	Inf	0	0.01758854187074591
0.44	0.8	Inf	0	0.022078491014079323
0.45	0	Inf	0	0.015136342185679524
0.45	0.05	Inf	0	0.013291965147126676
0.45	0.1	Inf	0	0.014537748268072134
0.45	0.2	Inf	0	0.020477226792274147
0.45	0.4	Inf	0	0.012722592059981086
0.45	0.8	Inf	0	0.02352657789109375
0.46	0	Inf	0	0.01962210895457285
0.46	0.05	Inf	0	0.018422286281839464
0.46	0.1	Inf	0	0.02220914716975194
0.46	0.2	Inf	0	0.02188523065544506
0.46	0.4	Inf	0	0.014968682391988198
0.46	0.8	Inf	0	0.01457003955626816
0.47	0	Inf	0	0.019392244368575756
0.47	0.05	Inf	0	0.028594661477563954
0.47	0.1	Inf	0	0.013575705355893692
0.47	0.2	Inf	0	0.015203317413829463
0.47	0.4	Inf	0	0.014610913712046482
0.47	0.8	Inf	0	0.01713247998515404
0.48	0	Inf	0	0.026013070920870872
