init_cond	constr_cond	run_number	seq_length	mutation	mut_scaled	mutation_tot	mut_scaled_tot	mut_mean	esr_mean	A3SS_R1_mean	A3SS_R2_mean	A5SS_R1_mean	A5SS_R2_mean
exon	neutral	0	915	4392	4.8	4563	4.9868852459	0.00404457073989071	-0.084225222	0.2642677001711393	-0.40007343416780244	-0.055183292253439736	0.10873784926515556
exon	neutral	0	915	4575	5.0	4750	5.1912568306	0.004113408402550091	-0.0776564263186813	0.3079597101046726	-0.4114213509508078	-0.07557294022766091	0.13220335553174362
exon	neutral	0	915	4758	5.2	4942	5.40109289617	0.004009661757377049	-0.08664707004395605	0.2983165772963073	-0.4109697875220235	-0.03194630266548619	0.11607761118664894
exon	neutral	0	915	4941	5.4	5132	5.6087431694	0.003741215507103825	-0.09646384137362637	0.2915257716543862	-0.43717475341273315	-0.06319300380884617	0.1135381536748366
exon	neutral	0	915	5124	5.6	5326	5.82076502732	0.004015903995264116	-0.08975277637362637	0.2884116817833762	-0.39776038253794416	-0.04848973735227666	0.10801529030484958
exon	neutral	0	915	5307	5.8	5514	6.0262295082	0.003989935099817851	-0.09201307975824176	0.2726170196868335	-0.39730454415855554	-0.04268648531696508	0.11031383876203447
exon	neutral	0	915	5490	6.0	5706	6.2360655737699995	0.0039277636571949	-0.07294785493406594	0.2385632335278876	-0.3371042458850533	-0.010032141020737382	0.10042002381159401
exon	neutral	0	915	5673	6.2	5894	6.44153005464	0.00407339103715847	-0.06958588502197803	0.2659429857723301	-0.3522860038312584	0.013253600563239033	0.10356929810065846
exon	neutral	0	915	5856	6.4	6082	6.646994535519999	0.004110537770127504	-0.07610288845054945	0.23061388079888415	-0.35351314683933466	0.0462988956951971	0.09943677910171998
exon	neutral	0	915	6039	6.6	6271	6.8535519125699995	0.004371960534790529	-0.05736756957142857	0.2245781978800011	-0.3068840175035386	0.0695687092101733	0.11397204054666117
exon	neutral	0	915	6222	6.8	6462	7.06229508197	0.004223250072859745	-0.060946009153846153	0.2303625088877797	-0.32209402487851296	0.052179062159124434	0.11522984470936672
exon	neutral	0	915	6405	7.0	6648	7.265573770489999	0.004211237475045538	-0.07884305716483517	0.23233606936541953	-0.39833122354779804	-0.002220147972416611	0.11557933076920063
