init_cond	constr_cond	run_number	seq_length	mutation	mut_scaled	mutation_tot	mut_scaled_tot	mut_mean	esr_mean	A3SS_R1_mean	A3SS_R2_mean	A5SS_R1_mean	A5SS_R2_mean
random	neutral	0	999	5994	6.0	6589	6.5955955956	0.005434542400066734	-0.0962737078973843	0.13337262190630822	-0.38009942115720324	0.009467288514542722	0.0740244063595995
random	neutral	0	999	6193	6.1991991992	6809	6.81581581582	0.005240066389723057	-0.060472647424547284	0.14831796709558284	-0.2894683816675712	0.05240580077876029	0.0647616171784613
random	neutral	0	999	6393	6.399399399400001	7026	7.03303303303	0.005652251174841507	-0.05758504552313884	0.1382591226658444	-0.26930452809081906	0.10343664753233914	0.06079207080590742
random	neutral	0	999	6593	6.5995995996	7242	7.249249249249999	0.0051880555085085074	-0.07890072104627766	0.1321499690447623	-0.32694924384826407	0.033877073891710165	0.07284554905229461
random	neutral	0	999	6793	6.799799799800001	7460	7.46746746747	0.005604807524190858	-0.04844825698189135	0.14283055638394512	-0.2930059563944867	0.05261349025972882	0.0838352197469781
random	neutral	0	999	6993	7.0	7677	7.6846846846800005	0.005629680920587255	-0.05949771199195171	0.17093135013974176	-0.3071701978413009	0.05920198854985752	0.08509652041687543
random	neutral	0	999	7192	7.1991991992	7894	7.9019019019000005	0.005765138383383384	-0.02454053431589537	0.1883384668355364	-0.241799422600886	0.10162358987114396	0.09351980770914037
random	neutral	0	999	7392	7.399399399400001	8116	8.12412412412	0.005783695876543211	-0.022124710583501003	0.1258643360842506	-0.19947006094222197	0.0986650738153948	0.08327791628755991
random	neutral	0	999	7592	7.5995995996	8339	8.34734734735	0.005265429124457791	-0.0590139666498994	0.14056033741504181	-0.2910600768443747	0.04504310149932825	0.0795159628626322
random	neutral	0	999	7792	7.799799799800001	8562	8.570570570569998	0.005589074883550218	-0.06125637464788732	0.1259137244533463	-0.3075774628190952	0.05483159280911007	0.07124829600598863
random	neutral	0	999	7992	8.0	8785	8.79379379379	0.005446574145145145	-0.06411969263581488	0.11400184492644934	-0.33534557283076283	0.033564134580073825	0.060151649817197686
random	neutral	0	999	8191	8.199199199199999	9001	9.010010010010001	0.005262746374040707	-0.07770028978873239	0.12937644343195262	-0.32531312713864696	0.06858293804363966	0.07440738463608114
random	neutral	0	999	8391	8.3993993994	9216	9.22522522523	0.004945338422422423	-0.09341163590543258	0.13253318637184386	-0.36571310317311223	-0.00500880397013255	0.08078679379531477
random	neutral	0	999	8591	8.599599599600001	9437	9.44644644645	0.004879672141141141	-0.07414287700201208	0.11011884811630317	-0.3272081283776166	0.040727145360528565	0.07238730827832683
random	neutral	0	999	8791	8.7997997998	9658	9.667667667669999	0.005278939756756757	-0.07532374554325956	0.05905736814743598	-0.3219983673452507	-0.008335426848710208	0.062399711799783465
random	neutral	0	999	8991	9.0	9872	9.88188188188	0.0057576011765098425	-0.0531757240442656	0.09680646247418265	-0.256630178295122	0.05281089240666706	0.07427148208033627
